alpha,beta,r_value,p_value,amfi_code,scheme_name,fund_house
0.3033696538698332,-0.023196062044059707,-0.01189225609492233,0.6871791461096045,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund
0.048824215945539845,0.062001804382671694,0.03202999426594698,0.27800396233826213,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
0.17703302365844073,-0.04026895236982061,-0.0373824104136138,0.20543745183411524,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF
0.2119482701352573,0.01623216976141703,0.014565757472883968,0.6218551541356451,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF
0.2926358334175106,0.0005490042506317283,0.0003668152351752807,0.9900902356906137,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF
0.1625385327998104,0.041896462728119754,0.03545585721459958,0.22978488107543138,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF
0.06746210411099539,-0.0004440926329707229,-0.011589073060723985,0.6947484438507018,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF
0.13042924450705445,0.0363563990221998,0.0348047569467334,0.2384593087156638,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
0.0780443887615508,0.018056874208118173,0.01300597894751271,0.6596465767530764,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
0.27330465038306057,-0.022829569792426545,-0.018521726234753202,0.5305284121437437,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF
0.06455677495375998,-0.00040074423947840073,-0.010062522393650485,0.7333100820090802,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF
0.17729754927531766,0.048820404259577385,0.04289731085169742,0.14617594874598647,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund
0.11989100971217971,0.00905441262173916,0.0063590459611755044,0.8295182110189219,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund
0.2698375144191807,0.023683558075848606,0.021506828930885742,0.4664265197542751,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF
0.20873010086942337,-0.026387719943843004,-0.022043740047454102,0.4553703178741986,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF
0.2827036785246582,0.01813388408385924,0.013224555405808372,0.6542952865906955,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF
0.13173190226099432,-0.004050271130006511,-0.0036369778499257197,0.901989502440503,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund
0.26598577542043045,-0.0025230046646992346,-0.001832478701652171,0.9505247706268665,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund
0.3005787817097677,0.011455159960520708,0.005943896555960208,0.84049358918433,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund
