cagr_3yr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense_inv,rank_maxdd_inv,fund_score,amfi_code,scheme_name,fund_house
0.13974980348212673,0.5165503915082101,0.17703302365844073,1.42,-13.897862823061635,40.0,60.0,60.0,52.5,67.5,53.625,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF
0.14744434832760533,0.6406730942266642,0.20873010086942337,1.52,-15.27259422823477,42.5,65.0,67.5,36.25,55.00000000000001,53.4375,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF
0.18417429266835228,0.40461547832920475,0.1625385327998104,1.41,-19.82565826298267,52.5,55.00000000000001,52.5,55.00000000000001,35.0,51.75,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF
0.20811559826631898,-0.04707325681075911,0.08232801295222093,0.75,-21.751396370148225,62.5,32.5,32.5,82.5,25.0,48.25,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
0.25549670172502026,0.3846373345033844,0.16211256794033255,1.64,-21.539827112383225,70.0,47.5,50.0,3.75,27.500000000000004,46.1875,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
0.1803973982038829,0.2396633677728517,0.13173190226099432,1.54,-14.844576917771747,50.0,40.0,42.5,26.25,62.5,43.6875,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund
0.11242518737374207,0.13479784106103954,0.11989100971217971,0.78,-21.11727956013212,37.5,37.5,37.5,77.5,30.0,42.75,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund
0.080060298597036,0.29234325101099307,0.1750072167561127,1.53,-23.34488614483311,35.0,45.0,57.49999999999999,31.25,22.5,40.1875,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF
0.1726301444443794,0.25511741256223125,0.13042924450705445,1.59,-17.57361416468729,47.5,42.5,40.0,15.0,42.5,39.375,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
0.07392538786263403,-3.6501838785684795,0.06746210411099539,0.74,-0.09773140045925555,30.0,7.5,25.0,85.0,100.0,38.625,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF
0.06694394239074852,-4.000348969233409,0.06455677495375998,0.6,-0.11629327956168556,27.500000000000004,5.0,22.5,95.0,97.5,38.0,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF
0.04061259859840338,-0.8505789759662294,0.05074772999976104,0.55,-8.316361763638703,20.0,12.5,15.0,100.0,87.5,35.875,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF
0.05838988442093762,-0.7430986305648412,0.05620895216638369,0.77,-4.328728923970093,22.5,15.0,17.5,80.0,90.0,35.0,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund
0.03915479354684703,-1.0399413574427758,0.042817920315060876,0.56,-4.308263824636349,17.5,10.0,7.5,97.5,92.5,33.125,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund
0.06314299292105274,-4.650400707150914,0.060861457957871144,0.79,-0.16224980244717857,25.0,2.5,20.0,75.0,95.0,32.875,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF
0.0775416750547262,-0.058166811414922526,0.0780443887615508,1.56,-24.003511326274886,32.5,30.0,30.0,20.0,20.0,28.25,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
-0.01337083602283895,-0.13617811182970377,0.048824215945539845,0.72,-52.57422117012851,7.5,25.0,12.5,88.75,2.5,24.5625,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
0.005257668501786883,-0.13100916883965188,0.0689952982167755,1.64,-14.401617909337261,12.5,27.500000000000004,27.500000000000004,3.75,65.0,23.1875,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
-0.04151453816140693,0.052618136475855025,0.10897091901704538,1.53,-35.44691649336603,5.0,35.0,35.0,31.25,7.5,22.6875,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF
-0.11703299329834216,-0.15165815861644155,0.04801595363775955,1.38,-51.677753708526566,2.5,22.5,10.0,60.0,5.0,17.875,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
-0.007672319440258146,-0.2948889128510891,0.028969397866379445,1.51,-28.00112356639287,10.0,20.0,2.5,41.25,15.0,16.1875,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
0.012923525892154508,-0.3210192604995431,0.03747580763443281,1.55,-24.734440880673304,15.0,17.5,5.0,22.5,17.5,15.0,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
